Value,Error,Radius,Cells
81.4168,0.0176,Bare,
740.794,0.0074,15 mm,Input 3
925.954,0.0024,30 mm,Input 4
882.498,0.0018,50 mm,Input 5
277.306,0.0014,90 mm,Input 6
