Value,Error,Radius,Cells
1628.85,0.0038,Bare,
1035.0,0.0022,15 mm,Input 3
1394.46,0.0013,30 mm,Input 4
1667.86,0.0009,50 mm,Input 5
1412.43,0.0006,90 mm,Input 6
