Value,Error,Radius,Cells
1040.22,0.0044,Bare,
11283.6,0.0016,15 mm,Input 3
17413.0,0.0004,30 mm,Input 4
21559.1,0.0003,50 mm,Input 5
11528.9,0.0002,90 mm,Input 6
