Value,Error,Radius,Cells
615.3,0.0059,Bare,
5473.49,0.0026,15 mm,Input 3
6296.8,0.0007,30 mm,Input 4
6932.02,0.0006,50 mm,Input 5
2848.95,0.0004,90 mm,Input 6
