Value,Error,Radius,Cells
3346.43,0.0033,Bare,
2268.3,0.0018,15 mm,Input 3
3204.73,0.0011,30 mm,Input 4
3969.38,0.0007,50 mm,Input 5
3526.17,0.0004,90 mm,Input 6
