Value,Error,Radius,Cells
38.2896,0.0205,Bare,
348.224,0.0087,15 mm,Input 3
424.226,0.0029,30 mm,Input 4
398.816,0.0022,50 mm,Input 5
122.254,0.0016,90 mm,Input 6
