Value,Error,Radius,Cells
94.1043,0.0146,Bare,
50.1892,0.009,15 mm,Input 3
58.7095,0.0061,30 mm,Input 4
63.1993,0.0044,50 mm,Input 5
49.0807,0.0031,90 mm,Input 6
