Value,Error,Radius,Cells
1857.93,0.0041,Bare,
20673.8,0.0015,15 mm,Input 3
32309.6,0.0004,30 mm,Input 4
40224.9,0.0003,50 mm,Input 5
21732.0,0.0002,90 mm,Input 6
