Value,Error,Radius,Cells
1213.37,0.0052,Bare,
11006.9,0.0022,15 mm,Input 3
13214.0,0.0006,30 mm,Input 4
14816.2,0.0005,50 mm,Input 5
6363.76,0.0004,90 mm,Input 6
