Value,Error,Radius,Cells
4464.62,0.0024,Bare,
3737.2,0.0012,15 mm,Input 3
6383.87,0.0006,30 mm,Input 4
9030.22,0.0003,50 mm,Input 5
8395.21,0.0002,90 mm,Input 6
