Value,Error,Radius,Cells
304.911,0.0105,Bare,
1807.25,0.007,15 mm,Input 3
223.139,0.0041,30 mm,Input 4
253.054,0.0028,50 mm,Input 5
210.885,0.0019,90 mm,Input 6
